CODE,LIBELLE
,CONSTRUCTION PARTICULIERE
R,CONSTRUCTION CLASSEE SUR SOL D AUTRUI LORS DE L INITIALISATION MAJIC2 (LOCAL - HORS PDL - AVEC ATTRIBUTION DIFFERENTE DE LA PARCELLE D ASSISE)
S,CONSTRUCTION SUR PLUSIEURS PARCELLES MAIS NON SOUMISE AU REGIME DE COPROPRIETE OU DE TRANSPARENCE FISCALE
U,"CHUTE D EAU - BARRAGE"
V,CONSTRUCTION EDIFIEE SUR LE DOMAINE PUBLIC
W,CONSTRUCTION EDIFIEE SOUS LE DOMAINE PUBLIC
X,VOIES FERREES ETABLIES SUR LE TERRAIN D AUTRUI OU SUR LE DOMAINE PUBLIC ET DONT L ASSISE NE FORME PAS PARCELLE
Y,CONSTRUCTION EDIFIEE SOUS LE DOMAINE CADASTRE
Z,CONSTRUCTION EDIFIEE SUR SOL D AUTRUI
